ticker,name,isin,provider,category,peer_group,benchmark_name,benchmark_ticker,currency,ter,ter_status,aum_eur,aum_status,launch_date,replication,distribution_policy,domicile,pea_eligible,sfdr,esg_strategy,source_url,last_verified,verification_status
CW8.PA,Amundi MSCI World UCITS ETF Acc,LU1681043599,Amundi,Actions Monde,MSCI World,MSCI World,URTH,EUR,0.0038,verified,,to_confirm,2018-04-18,Synthetic,Accumulating,Luxembourg,Yes,Article 6,None,https://www.amundietf.fr/,2026-07-20,verified
IWDA.AS,iShares Core MSCI World UCITS ETF USD Acc,IE00B4L5Y983,iShares,Actions Monde,MSCI World,MSCI World,URTH,USD,0.0020,verified,,to_confirm,2009-09-25,Physical,Accumulating,Ireland,No,Article 6,None,https://www.ishares.com/uk/individual/en/products/251882/,2026-07-20,verified
WPEA.PA,iShares MSCI World Swap PEA UCITS ETF,IE0002XZSHO1,iShares,Actions Monde,MSCI World PEA,MSCI World,URTH,EUR,0.0025,verified,,to_confirm,2024-03-26,Synthetic,Accumulating,Ireland,Yes,Article 6,None,https://www.ishares.com/fr/particuliers/fr/produits/335178/,2026-07-20,verified
CSPX.AS,iShares Core S&P 500 UCITS ETF USD Acc,IE00B5BMR087,iShares,Actions Etats-Unis,S&P 500,S&P 500,^GSPC,USD,0.0007,verified,,to_confirm,2010-05-19,Physical,Accumulating,Ireland,No,Article 6,None,https://www.ishares.com/uk/individual/en/products/253743/,2026-07-20,verified
VUAA.DE,Vanguard S&P 500 UCITS ETF USD Acc,IE00BFMXXD54,Vanguard,Actions Etats-Unis,S&P 500,S&P 500,^GSPC,USD,0.0007,verified,,to_confirm,2019-05-14,Physical,Accumulating,Ireland,No,Article 6,None,https://www.fr.vanguard/professionnel/produits/etf/actions/9694/sp-500-ucits-etf-usd-accumulating,2026-07-20,verified
ESE.PA,BNP Paribas Easy S&P 500 UCITS ETF EUR C,FR0011550185,BNP Paribas Asset Management,Actions Etats-Unis,S&P 500 ESG,S&P 500,^GSPC,EUR,0.0012,verified,,to_confirm,2013-09-13,Synthetic,Accumulating,France,Yes,Article 8,ESG tilt (issuer screening),https://www.easy.bnpparibas.fr/,2026-07-20,verified
MEUD.PA,Amundi STOXX Europe 600 UCITS ETF Acc,LU0908500753,Amundi,Europe,STOXX Europe 600,STOXX Europe 600,^STOXX,EUR,0.0007,verified,,to_confirm,2013-07-11,Physical,Accumulating,Luxembourg,Yes,Article 6,None,https://www.amundietf.fr/,2026-07-20,verified
ESGE.PA,Amundi MSCI Europe ESG Selection UCITS ETF Acc,LU1940199711,Amundi,Europe,Europe ESG,MSCI Europe ESG Selection,n/a,EUR,0.0020,verified,1075000000,verified_2026,to_confirm,Physical,Accumulating,to_confirm,to_confirm,Article 8,"Best-in-class (ESG Leaders / Selection, 5% issuer cap)",https://www.amundietf.fr/,2026-07-21,partial
EIMI.L,iShares Core MSCI EM IMI UCITS ETF USD Acc,IE00BKM4GZ66,iShares,Marches Emergents,Emerging Markets,MSCI Emerging Markets IMI,n/a,USD,0.0018,verified,42400000000,verified_2026,2014-05-30,Physical,Accumulating,Ireland,No,Article 6,None,https://www.ishares.com,2026-07-21,verified
IEGA.DE,iShares Core Euro Government Bond UCITS ETF Dist,IE00B4WXJJ64,iShares,Obligations,Obligations souveraines euro,Bloomberg Euro Treasury Bond,n/a,EUR,0.0009,verified,5080000000,verified_2026,2009-04-17,Physical,Distributing,Ireland,No,Article 6,None,https://www.ishares.com,2026-07-21,verified
IGLN.L,iShares Physical Gold ETC,IE00B4ND3602,iShares,Diversifiants,Or,Prix spot or (LBMA),n/a,USD,0.0012,verified,38900000000,verified_2026,2011-04-08,Physical (matieres premieres physiques),Accumulating,Ireland,No,n/a,n/a,https://www.ishares.com,2026-07-21,verified
